question,answer,relevant_laws,sections_extracted
ถ้ามีมติของที่ประชุมใหญ่ให้อำนาจผู้ชำระบัญชีให้ชำระบัญชีแยกกันได้ต้องนำความไปจดทะเบียนภายในกี่วัน,ต้องนำความจดทะเบียนภายในสิบสี่วันนับแต่วันลงมติ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1262\nถ้ามีมติของที่ประชุมใหญ่หรือคำบังคับของศาลให้อำนาจผู้ชำระบัญชีให้ทำการแยกกันได้ ท่านว่าต้องนำความจดทะเบียนภายในสิบสี่วันนับแต่วันลงมติหรือออกคำบังคับนั้น', 'section_num': '1262'}]",['1262']
ถ้าตกลงกันในสัญญาให้อีกฝ่ายหนึ่งมีสิทธิบอกเลิกสัญญาด้วยเงื่อนไขถ้าได้ศึกษาต่อต่างประเทศสามารถบอกเลิกสัญญาเช่ารถแม้จะไม่ครบกำหนดได้หรือไม่,ได้ แต่เมื่อได้แสดงเจตนาในการเลิกสัญญานั้นแล้ว จะยกเลิกการบอกเลิกสัญญากันไม่ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 386\nถ้าคู่สัญญาฝ่ายหนึ่งมีสิทธิเลิกสัญญาโดยข้อสัญญาหรือโดยบทบัญญัติแห่งกฎหมาย การเลิกสัญญาเช่นนั้นย่อมทำด้วยแสดงเจตนาแก่อีกฝ่ายหนึ่ง\nแสดงเจตนาดังกล่าวมาในวรรคก่อนนั้น ท่านว่าหาอาจจะถอนได้ไม่', 'section_num': '386'}]",['386']
อายุความในการฟ้องลูกหนี้ได้สิ้นสุด ผู้ค้ำประกันจะยกข้อต่อสู้กับเจ้าหนี้ได้หรือไม่,ได้ นอกจากข้อต่อสู้ซึ่งผู้ค้ำประกันมีต่อเจ้าหนี้ ผู้ค้ำประกันอาจยกข้อต่อสู้ซึ่งเป็นข้อต่อสู้ของลูกหนี้มีต่อเจ้าหนี้ขึ้นต่อสู้ได้ เช่น ผู้ค้ำประกันอาจยกอายุความของลูกหนี้ชั้นต้นที่ขาดอายุความแล้วขึ้นต่อสู้เจ้าหนี้ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 694\nนอกจากข้อต่อสู้ซึ่งผู้ค้ำประกันมีต่อเจ้าหนี้นั้น ท่านว่าผู้ค้ำประกันยังอาจยกข้อต่อสู้ทั้งหลายซึ่งลูกหนี้มีต่อเจ้าหนี้ขึ้นต่อสู้ได้ด้วย', 'section_num': '694'}]",['694']
ถูกขมขู่ให้ต้องทำพินัยกรรม จะสามารถเพิกถอนพินัยกรรมนั้นได้หรือไม่,ได้ เมื่อผู้ทำพินัยกรรมตาย ผู้มีส่วนได้ส่วนเสียในพินัยกรรมนั้นจะร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมที่ได้ทำขึ้นเพราะเหตุข่มขู่ก็ได้ แต่หากหลังจากที่ผู้ทำพินัยกรรมถูกข่มขู่มให้ทำพินัยกรรมนั้น ได้พ้นจากการข่มขู่แล้วและมีชีวิตอยู่ต่อเกิน 1 ปี จะร้องขอเพิกพินัยกรรมนั้นไม่ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1708\nเมื่อผู้ทำพินัยกรรมตายแล้ว บุคคลผู้มีส่วนได้เสียคนใดคนหนึ่งจะร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมซึ่งได้ทำขึ้นเพราะเหตุข่มขู่ก็ได้ แต่หากผู้ทำพินัยกรรมยังมีชีวิตอยู่ต่อมาเกินหนึ่งปีนับแต่ผู้ทำพินัยกรรมพ้นจากการข่มขู่แล้ว จะมีการร้องขอเช่นว่านั้นไม่ได้', 'section_num': '1708'}]",['1708']
ในที่ดินมีกรรมสิทธิ์ร่วมทั้งหมด 3 คน จะนำที่ดินขายและเอาเงินที่ขายมาแบ่งกันได้หรือไม่,ได้ โดยเจ้าของร่วมต้องตกลงกันที่จะขายที่ดินดังกล่าวและเอาเงินที่ขายได้แบ่งกัน ถ้าไม่ได้ตกลงกันว่าจะแบ่งที่ดินอย่างไร เจ้าของรวมคนหนึ่งจะขอให้ศาลสั่งแบ่งที่ดินนั้นก็ได้ ถ้าการแบ่งที่ดินไม่เท่ากันศาลจะสั่งให้ทดแทนเป็นเงินก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1364\nการแบ่งทรัพย์สินพึงกระทำโดยแบ่งทรัพย์สินนั้นเองระหว่างเจ้าของรวม หรือโดยขายทรัพย์สินแล้วเอาเงินที่ขายได้แบ่งกัน\nถ้าเจ้าของรวมไม่ตกลงกันว่าจะแบ่งทรัพย์สินอย่างไรไซร้ เมื่อเจ้าของรวมคนหนึ่งคนใดขอ ศาลอาจสั่งให้เอาทรัพย์สินนั้นออกแบ่ง ถ้าส่วนที่แบ่งให้ไม่เท่ากันไซร้ จะสั่งให้ทดแทนกันเป็นเงินก็ได้ ถ้าการแบ่งเช่นว่านี้ไม่อาจทำได้หรือจะเสียหายมากนักก็ดี ศาลจะสั่งให้ขายโดยประมูลราคากันระหว่างเจ้าของรวมหรือขายทอดตลาดก็ได้', 'section_num': '1364'}]",['1364']
ถ้าของรับฝากหายเพราะเหตุสุดวิสัย เหตุเกิดขณะที่ผู้รับฝากได้ฝากของให้กับคนอื่นเก็บรักษาของฝากไว้เป็นการช่วงคราว ผู้รับฝากต้องรับผิดหรือไม่,ต้องรับผิด ถ้าผู้ฝากทรัพย์ไม่ได้อนุญาตให้คนอื่นนอกจากผู้รับฝากต้องเก็บรักษาทรัพย์นั้นแล้ว ถึงแม้ว่าของที่หายจะเป็นเหตุสุดวิสัยก็ตาม ผู้รับฝากจะต้องรับผิดเมื่อทรัพย์สินซึ่งฝากนั้นสูญหาย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 660\nถ้าผู้ฝากมิได้อนุญาต และผู้รับฝากเอาทรัพย์สินซึ่งฝากนั้นออกใช้สอยเอง หรือเอาไปให้บุคคลภายนอกใช้สอย หรือให้บุคคลภายนอกเก็บรักษาไซร้ ท่านว่าผู้รับฝากจะต้องรับผิดเมื่อทรัพย์สินซึ่งฝากนั้นสูญหายหรือบุบสลายอย่างหนึ่งอย่างใด แม้ถึงจะเป็นเพราะเหตุสุดวิสัย เว้นแต่จะพิสูจน์ได้ว่าถึงอย่างไร ๆ ทรัพย์สินนั้นก็คงจะต้องสูญหายหรือบุบสลายอยู่นั่นเอง', 'section_num': '660'}]",['660']
ทำสัญญาจะซื้ออาคารพาณิชย์พร้อมที่ดิน แต่ผู้ขายยังสร้างอาคารพาณิชย์ไม่เสร็จตามสัญญา ผู้จะซื้อยังไม่ชำระค่าก่อสร้างได้หรือไม่,ได้ ผู้จะซื้อจะไม่ยอมชำระหนี้ในการชำระราคาซื้ออาคารพาณิชย์พร้อมที่ดินให้กับผู้จะขาย จนกว่าผู้จะขายจะส่งมอบอาคารพาณิชย์ตามกำหนดในสัญญาก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 369\nในสัญญาต่างตอบแทนนั้น คู่สัญญาฝ่ายหนึ่งจะไม่ยอมชำระหนี้จนกว่าอีกฝ่ายหนึ่งจะชำระหนี้ หรือขอปฏิบัติการชำระหนี้ก็ได้ แต่ความข้อนี้ท่านมิให้ใช้บังคับ ถ้าหนี้ของคู่สัญญาอีกฝ่ายหนึ่งยังไม่ถึงกำหนด', 'section_num': '369'}]",['369']
จำนองที่ดินก่อนสร้างบ้าน บ้านหลังดังกล่าวได้อยู่ในส่วนการจำนองที่ดินด้วยหรือไม่,ไม่ การจำนองที่ดินไม่ครอบไปถึงบ้านที่สร้างลงในที่ดินภายหลังวันจำนอง เว้นแต่จะมีข้อความในสัญญาระบุโดยเฉพาะว่าให้ครอบไปถึงสิ่งปลูกสร้างด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 719\nจำนองที่ดินไม่ครอบไปถึงเรือนโรงอันผู้จำนองปลูกสร้างลงในที่ดินภายหลังวันจำนอง เว้นแต่จะมีข้อความกล่าวไว้โดยเฉพาะในสัญญาว่าให้ครอบไปถึง\nแต่กระนั้นก็ดี ผู้รับจำนองจะให้ขายเรือนโรงนั้นรวมไปกับที่ดินด้วยก็ได้ แต่ผู้รับจำนองอาจใช้บุริมสิทธิของตนได้เพียงแก่ราคาที่ดินเท่านั้น', 'section_num': '719'}]",['719']
ค่าประเมินความเสียหายของรถเป็นค่าใช้จ่ายในการตีราคาวินาศภัย บริษัทประกันภัยออกค่าใช้จ่ายดังกล่าวเองหรือไม่,ใช่ ผู้รับประกันภัย คือ บริษัทประกันภัยที่ได้รับใบอนุญาตประกอบธุรกิจประกันภัยอย่างถูกต้องตามกฎหมาย ต้องเป็นผู้ออกใช้ค่าใช้จ่ายในการตีราคาวินาศภัยนั้น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 878\nค่าใช้จ่ายในการตีราคาวินาศภัยนั้น ท่านว่าผู้รับประกันภัยต้องเป็นผู้ออกใช้', 'section_num': '878'}]",['878']
การโอนหุ้นชนิดระบุชื่อลงในใบหุ้น ต้องมีพยานรับรองลายมือชื่อด้วยหรือไม่,ใช่ ต้องมีพยานรับรองลายมือชื่อการรับโอนหุ้นชนิดระบุชื่อลงในใบหุ้นนั้นๆ โดยทำเป็นหนังสือและลงลายมือชื่อของผู้โอนและผู้รับโอน มีพยานหนึ่งคนเป็นอย่างน้อย และตราสารนั้นต้องแถลงหมายเลขของหุ้นซึ่งโอนกันด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1129\nอันว่าหุ้นนั้นย่อมโอนกันได้โดยมิต้องได้รับความยินยอมของบริษัท เว้นแต่เมื่อเป็นหุ้นชนิดระบุชื่อลงในใบหุ้น ซึ่งมีข้อบังคับของบริษัทกำหนดไว้เป็นอย่างอื่น\nการโอนหุ้นชนิดระบุชื่อลงในใบหุ้นนั้น ถ้ามิได้ทำเป็นหนังสือและลงลายมือชื่อของผู้โอนกับผู้รับโอน มีพยานคนหนึ่งเป็นอย่างน้อยลงชื่อรับรองลายมือนั้น ๆ ด้วยแล้ว ท่านว่าเป็นโมฆะ อนึ่ง ตราสารอันนั้นต้องแถลงเลขหมายของหุ้นซึ่งโอนกันนั้นด้วย\nการโอนเช่นนี้จะนำมาใช้แก่บริษัทหรือบุคคลภายนอกไม่ได้ จนกว่าจะได้จดแจ้งการโอนทั้งชื่อและสำนักของผู้รับโอนนั้นลงในทะเบียนผู้ถือหุ้น', 'section_num': '1129'}]",['1129']
ช่างรับเหมาก่อสร้างได้ทำการก่อสร้างยังไม่เสร็จดี และอยู่ในระยะเวลาของสัญญาจ้าง เจ้าของบ้านได้บอกเลิกสัญญากลางคัน ผู้รับเหมาสามารถเรียกค่าสินไหมทดแทนจากเจ้าของบ้านที่ว่าจ้างได้หรือไม่,ได้ หากงานยังเสร็จผู้ว่าจ้างย่อมมีสิทธิเลิกสัญญาได้ เพียงแต่ต้องชดใช้ค่าสินไหมทดแทนเพื่อความเสียหายอันเกิดแต่การเลิกสัญญา ซึ่งอาจจะเป็นเฉพาะเช่น ค่าวัสดุอุปกรณ์ ต้นทุน ค่าเสียเวลา เสียโอกาส แต่อาจไม่รวมถึงกำไรที่ผู้รับจ้างคาดว่าจะได้รับ ซึ่งหากมีการเรียกร้องกันจริงก็ต้องมีการฟ้องร้องดำเนินคดีกันและพิสูจน์ความเสียหาย ทำให้ในทางปฏิบัติภาคเอกชนอาจจะกำหนดสิทธิให้ผู้ว่าจ้างไม่อาจเลิกสัญญาฝ่ายเดียวด้วยเหตุนี้ได้ ซึ่งถ้าไม่ระบุในสัญญาว่าห้ามเลิกสัญญาฝ่ายเดียว ผู้รับเหมาขอให้เจ้าของบ้านผู้ว่าจ้างชดใช้ค่าสินไหมทดแทนเพื่อความเสียหายอันเกิดแต่การเลิกสัญญาได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 605\nถ้าการที่จ้างยังทำไม่แล้วเสร็จอยู่ตราบใด ผู้ว่าจ้างอาจบอกเลิกสัญญาได้ เมื่อเสียค่าสินไหมทดแทนให้แก่ผู้รับจ้างเพื่อความเสียหายอย่างใด ๆ อันเกิดแต่การเลิกสัญญานั้น', 'section_num': '605'}]",['605']
จะขอให้คนถือตั๋วเงินแลกเงินรับเงินก่อนตั๋วเงินถึงกำหนดได้หรือไม่,ไม่ได้ เนื่องจากกฎหมายไม่ได้ให้สิทธิแลกเงินก่อนตั๋วเงินถึงกำหนดจ่าย ถ้าผู้จ่าย จ่ายเงินก่อนตั๋วเงินถึงกำหนด ผู้จ่ายต้องรับความเสี่ยงจากการจ่ายเงินในตั๋วเงินก่อนถึงกำหนดเอง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 942\nอันจะบังคับให้ผู้ทรงตั๋วแลกเงินรับเงินใช้ก่อนตั๋วเงินถึงกำหนดนั้น ท่านว่าหาอาจจะทำได้ไม่\nอนึ่ง ผู้จ่ายคนใดใช้เงินไปแต่ก่อนเวลาตั๋วเงินถึงกำหนด ท่านว่าย่อมทำเช่นนั้นด้วยเสี่ยงเคราะห์ของตนเอง', 'section_num': '942'}]",['942']
อายุความสิทธิเรียกร้องของผู้เยาว์ เริ่มนับตั้งแต่อายุ 20 ปีบริบูรณ์ หรือบรรลุนิติภาวะตามกฎหมายใช่หรือไม่,ใช่ อายุความสิทธิเรียกร้องของผู้เยาว์ อายุความนั้นยังไม่ครบกำหนดจนกว่าจะครบหนึ่งปีนับแต่วันที่ผู้เยาว์บรรลุนิติภาวะ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/21\nอายุความสิทธิเรียกร้องของผู้เยาว์หรือของคนไร้ความสามารถหรือของคนเสมือนไร้ความสามารถ ที่จะฟ้องร้องผู้แทนโดยชอบธรรมหรือผู้อนุบาลหรือผู้พิทักษ์ของตนนั้น ถ้าจะครบกำหนดลงในขณะที่บุคคลดังกล่าวยังไม่ลุถึงความสามารถเต็มภูมิ หรือในระหว่างหนึ่งปีนับแต่วันที่บุคคลดังกล่าวไม่มีผู้แทนโดยชอบธรรมหรือผู้อนุบาลหรือผู้พิทักษ์ อายุความนั้นยังไม่ครบกำหนดจนกว่าจะครบหนึ่งปีนับแต่วันที่บุคคลนั้นได้ลุถึงความสามารถเต็มภูมิหรือได้มีผู้แทนโดยชอบธรรมหรือผู้อนุบาลหรือผู้พิทักษ์ แล้วแต่กรณี แต่ถ้าอายุความสิทธิเรียกร้องนั้นมีระยะเวลาน้อยกว่าหนึ่งปี ก็ให้นำกำหนดระยะเวลาที่สั้นกว่านั้นมาใช้แทนกำหนดระยะเวลาหนึ่งปีดังกล่าว', 'section_num': '193/21'}]","['193/21', '193']"
เกินหกเดือนแล้วจะฟ้องคดีผู้สลักหลังตั๋วเงินได้หรือไม่,ไม่ได้ เนื่องจากการฟ้องคดีผู้สลักหลังทั้งหลายฟ้องไล่เบี้ยกันเองและไล่เบี้ยเอาแก่ผู้สั่งจ่ายตั๋วเงินนั้น ห้ามไม่ให้ให้ฟ้องคดีเมื่อพ้นเวลาหกเดือนนับแต่วันที่ผู้สลักหลังเข้าถือเอาตั๋วเงินและใช้เงิน หรือนับแต่วันที่ผู้สลักหลังนั้นเองถูกฟ้อง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1003\nในคดีผู้สลักหลังทั้งหลายฟ้องไล่เบี้ยกันเองและไล่เบี้ยเอาแก่ผู้สั่งจ่ายแห่งตั๋วเงิน ท่านห้ามมิให้ฟ้องคดีเมื่อพ้นเวลาหกเดือนนับแต่วันที่ผู้สลักหลังเข้าถือเอาตั๋วเงินและใช้เงิน หรือนับแต่วันที่ผู้สลักหลังนั้นเองถูกฟ้อง', 'section_num': '1003'}]",['1003']
