question_text,gold_answer,gold_sections,retrieved_docs_count,retrieved_sections,context_length,bot_answer,bot_relevant_law,predicted_sections,raw_response,section_recall,section_mrr,section_hit_rate,retrieval_recall,retrieval_mrr,retrieval_hit_rate,answer_similarity
ถ้ามีมติของที่ประชุมใหญ่ให้อำนาจผู้ชำระบัญชีให้ชำระบัญชีแยกกันได้ต้องนำความไปจดทะเบียนภายในกี่วัน,ต้องนำความจดทะเบียนภายในสิบสี่วันนับแต่วันลงมติ,['1262'],10,"['1263', '1264', '1261', '1262', '1254', '1255', '1256', '1271', '1258', '1259', '1260']",4917,เมื่อที่ประชุมใหญ่หรือศาลให้อำนาจผู้ชำระบัญชีให้ทำการแยกกันได้ ต้องนำความไปจดทะเบียนภายในสิบสี่วันนับแต่วันลงมติหรือออกคำบังคับ (มาตรา 1262) และผู้ชำระบัญชีต้องจัดการใช้ค่าธรรมเนียม ค่าภาระติดพัน และค่าใช้จ่ายซึ่งต้องเสียโดยควรในการชำระบัญชีนั้นก่อนหนี้เงินรายอื่น ๆ (มาตรา 1263),"มาตรา 1262, มาตรา 1263","['1262', '1263']","```json
{
    ""sections"":""มาตรา 1262, มาตรา 1263"",
    ""ans"":""เมื่อที่ประชุมใหญ่หรือศาลให้อำนาจผู้ชำระบัญชีให้ทำการแยกกันได้ ต้องนำความไปจดทะเบียนภายในสิบสี่วันนับแต่วันลงมติหรือออกคำบังคับ (มาตรา 1262) และผู้ชำระบัญชีต้องจัดการใช้ค่าธรรมเนียม ค่าภาระติดพัน และค่าใช้จ่ายซึ่งต้องเสียโดยควรในการชำระบัญชีนั้นก่อนหนี้เงินรายอื่น ๆ (มาตรา 1263)""
}
```",1.0,1.0,1.0,1.0,0.25,1.0,0.8126300296538322
ถ้าตกลงกันในสัญญาให้อีกฝ่ายหนึ่งมีสิทธิบอกเลิกสัญญาด้วยเงื่อนไขถ้าได้ศึกษาต่อต่างประเทศสามารถบอกเลิกสัญญาเช่ารถแม้จะไม่ครบกำหนดได้หรือไม่,ได้ แต่เมื่อได้แสดงเจตนาในการเลิกสัญญานั้นแล้ว จะยกเลิกการบอกเลิกสัญญากันไม่ได้,['386'],10,"['564', '565', '566', '605', '582']",3339,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 566 หากกำหนดเวลาเช่าไม่ปรากฏในสัญญา หรือไม่สามารถระบุได้ชัดเจน คู่สัญญาฝ่ายใดฝ่ายหนึ่งสามารถบอกเลิกสัญญาเช่าได้เมื่อสิ้นสุดระยะเวลาที่ตกลงกันไว้ โดยไม่ต้องแจ้งล่วงหน้าเป็นเวลาอย่างน้อยหนึ่งเดือน แต่ไม่เกินสองเดือน อย่างไรก็ตาม หากสัญญาเช่าระบุเงื่อนไขให้บอกเลิกได้เมื่อมีเหตุผลอื่น เช่น การไปศึกษาต่อต่างประเทศ ก็อาจสามารถบอกเลิกสัญญาได้ตามเงื่อนไขที่ตกลงกันไว้ในสัญญา โดยอาจต้องปฏิบัติตามข้อกำหนดอื่นๆ ที่ระบุไว้ในสัญญาด้วย,"มาตรา 566, มาตรา 582","['566', '582']","```json
{
    ""sections"": ""มาตรา 566, มาตรา 582"",
    ""ans"": ""ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 566 หากกำหนดเวลาเช่าไม่ปรากฏในสัญญา หรือไม่สามารถระบุได้ชัดเจน คู่สัญญาฝ่ายใดฝ่ายหนึ่งสามารถบอกเลิกสัญญาเช่าได้เมื่อสิ้นสุดระยะเวลาที่ตกลงกันไว้ โดยไม่ต้องแจ้งล่วงหน้าเป็นเวลาอย่างน้อยหนึ่งเดือน แต่ไม่เกินสองเดือน อย่างไรก็ตาม หากสัญญาเช่าระบุเงื่อนไขให้บอกเลิกได้เมื่อมีเหตุผลอื่น เช่น การไปศึกษาต่อต่างประเทศ ก็อาจสามารถบอกเลิกสัญญาได้ตามเงื่อนไขที่ตกลงกันไว้ในสัญญา โดยอาจต้องปฏิบัติตามข้อกำหนดอื่นๆ ที่ระบุไว้ในสัญญาด้วย""
}
```",0.0,0.0,0.0,0.0,0.0,0.0,0.7068453786499588
อายุความในการฟ้องลูกหนี้ได้สิ้นสุด ผู้ค้ำประกันจะยกข้อต่อสู้กับเจ้าหนี้ได้หรือไม่,ได้ นอกจากข้อต่อสู้ซึ่งผู้ค้ำประกันมีต่อเจ้าหนี้ ผู้ค้ำประกันอาจยกข้อต่อสู้ซึ่งเป็นข้อต่อสู้ของลูกหนี้มีต่อเจ้าหนี้ขึ้นต่อสู้ได้ เช่น ผู้ค้ำประกันอาจยกอายุความของลูกหนี้ชั้นต้นที่ขาดอายุความแล้วขึ้นต่อสู้เจ้าหนี้ได้,['694'],10,"['694', '193/15', '193/29', '193/30', '695']",2755,เมื่ออายุความในการฟ้องลูกหนี้ได้สิ้นสุดลง ผู้ค้ำประกันยังคงมีสิทธิที่จะยกข้อต่อสู้ที่ลูกหนี้มีต่อเจ้าหนี้ได้ (มาตรา 694) อย่างไรก็ตาม หากผู้ค้ำประกันไม่ได้ยกข้อต่อสู้ดังกล่าวขึ้น ศาลจะไม่สามารถยกฟ้องโดยอ้างอายุความได้ (มาตรา 193/29) และหากอายุความสะดุดหยุดลง จะเริ่มนับอายุความใหม่ (มาตรา 193/15) หากผู้ค้ำประกันละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้น ผู้ค้ำประกันจะสิ้นสิทธิ์ในการไล่เบี้ยจากลูกหนี้เท่ากับจำนวนที่ไม่ได้ยกขึ้นเป็นข้อต่อสู้ เว้นแต่จะพิสูจน์ได้ว่าตนไม่ทราบข้อต่อสู้นั้น (มาตรา 695),"มาตรา 694, มาตรา 193/15, มาตรา 193/29, มาตรา 193/30, มาตรา 695","['694', '193/15', '193/29', '193/30', '695']","```json
{
    ""sections"": ""มาตรา 694, มาตรา 193/15, มาตรา 193/29, มาตรา 193/30, มาตรา 695"",
    ""ans"":""เมื่ออายุความในการฟ้องลูกหนี้ได้สิ้นสุดลง ผู้ค้ำประกันยังคงมีสิทธิที่จะยกข้อต่อสู้ที่ลูกหนี้มีต่อเจ้าหนี้ได้ (มาตรา 694) อย่างไรก็ตาม หากผู้ค้ำประกันไม่ได้ยกข้อต่อสู้ดังกล่าวขึ้น ศาลจะไม่สามารถยกฟ้องโดยอ้างอายุความได้ (มาตรา 193/29) และหากอายุความสะดุดหยุดลง จะเริ่มนับอายุความใหม่ (มาตรา 193/15) หากผู้ค้ำประกันละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้น ผู้ค้ำประกันจะสิ้นสิทธิ์ในการไล่เบี้ยจากลูกหนี้เท่ากับจำนวนที่ไม่ได้ยกขึ้นเป็นข้อต่อสู้ เว้นแต่จะพิสูจน์ได้ว่าตนไม่ทราบข้อต่อสู้นั้น (มาตรา 695)""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.8626420231740576
ถูกขมขู่ให้ต้องทำพินัยกรรม จะสามารถเพิกถอนพินัยกรรมนั้นได้หรือไม่,ได้ เมื่อผู้ทำพินัยกรรมตาย ผู้มีส่วนได้ส่วนเสียในพินัยกรรมนั้นจะร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมที่ได้ทำขึ้นเพราะเหตุข่มขู่ก็ได้ แต่หากหลังจากที่ผู้ทำพินัยกรรมถูกข่มขู่มให้ทำพินัยกรรมนั้น ได้พ้นจากการข่มขู่แล้วและมีชีวิตอยู่ต่อเกิน 1 ปี จะร้องขอเพิกพินัยกรรมนั้นไม่ได้,['1708'],10,"['1707', '1708', '1508', '1509']",2689,หากถูกข่มขู่ให้ทำพินัยกรรม สามารถร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมนั้นได้ แต่หากผู้ทำพินัยกรรมยังมีชีวิตอยู่ต่อมาเกินหนึ่งปีนับตั้งแต่พ้นจากการข่มขู่แล้ว จะไม่สามารถร้องขอเพิกถอนพินัยกรรมได้ (มาตรา 1708),มาตรา 1708,['1708'],"```json
{
    ""sections"": ""มาตรา 1708"",
    ""ans"":""หากถูกข่มขู่ให้ทำพินัยกรรม สามารถร้องขอให้ศาลสั่งเพิกถอนพินัยกรรมนั้นได้ แต่หากผู้ทำพินัยกรรมยังมีชีวิตอยู่ต่อมาเกินหนึ่งปีนับตั้งแต่พ้นจากการข่มขู่แล้ว จะไม่สามารถร้องขอเพิกถอนพินัยกรรมได้ (มาตรา 1708)""
}
```",1.0,1.0,1.0,1.0,0.5,1.0,0.9327855649454078
ในที่ดินมีกรรมสิทธิ์ร่วมทั้งหมด 3 คน จะนำที่ดินขายและเอาเงินที่ขายมาแบ่งกันได้หรือไม่,ได้ โดยเจ้าของร่วมต้องตกลงกันที่จะขายที่ดินดังกล่าวและเอาเงินที่ขายได้แบ่งกัน ถ้าไม่ได้ตกลงกันว่าจะแบ่งที่ดินอย่างไร เจ้าของรวมคนหนึ่งจะขอให้ศาลสั่งแบ่งที่ดินนั้นก็ได้ ถ้าการแบ่งที่ดินไม่เท่ากันศาลจะสั่งให้ทดแทนเป็นเงินก็ได้,['1364'],10,"['1364', '1365', '1303', '1304']",4353,ได้ หากเจ้าของรวมทั้งหมดตกลงกันที่จะขายที่ดินและแบ่งเงินที่ได้จากการขาย การแบ่งเงินดังกล่าวจะต้องดำเนินการตามที่ระบุไว้ในมาตรา 1364 ซึ่งกำหนดว่าการแบ่งทรัพย์สินพึงกระทำโดยแบ่งทรัพย์สินนั้นเอง หรือโดยขายทรัพย์สินแล้วเอาเงินที่ขายได้แบ่งกัน หากเจ้าของรวมไม่ตกลงกัน ศาลอาจสั่งให้แบ่งทรัพย์สินหรือขายทอดตลาดก็ได้ อย่างไรก็ตาม มาตรา 1365 ระบุว่าหากเจ้าของรวมมีหนี้สินร่วมกัน การแบ่งทรัพย์สินอาจต้องคำนึงถึงหนี้สินดังกล่าวด้วย,"มาตรา 1364, มาตรา 1365","['1364', '1365']","```json
{
    ""sections"": ""มาตรา 1364, มาตรา 1365"",
    ""ans"":""ได้ หากเจ้าของรวมทั้งหมดตกลงกันที่จะขายที่ดินและแบ่งเงินที่ได้จากการขาย การแบ่งเงินดังกล่าวจะต้องดำเนินการตามที่ระบุไว้ในมาตรา 1364 ซึ่งกำหนดว่าการแบ่งทรัพย์สินพึงกระทำโดยแบ่งทรัพย์สินนั้นเอง หรือโดยขายทรัพย์สินแล้วเอาเงินที่ขายได้แบ่งกัน หากเจ้าของรวมไม่ตกลงกัน ศาลอาจสั่งให้แบ่งทรัพย์สินหรือขายทอดตลาดก็ได้ อย่างไรก็ตาม มาตรา 1365 ระบุว่าหากเจ้าของรวมมีหนี้สินร่วมกัน การแบ่งทรัพย์สินอาจต้องคำนึงถึงหนี้สินดังกล่าวด้วย""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.9141618870445775
ถ้าของรับฝากหายเพราะเหตุสุดวิสัย เหตุเกิดขณะที่ผู้รับฝากได้ฝากของให้กับคนอื่นเก็บรักษาของฝากไว้เป็นการช่วงคราว ผู้รับฝากต้องรับผิดหรือไม่,ต้องรับผิด ถ้าผู้ฝากทรัพย์ไม่ได้อนุญาตให้คนอื่นนอกจากผู้รับฝากต้องเก็บรักษาทรัพย์นั้นแล้ว ถึงแม้ว่าของที่หายจะเป็นเหตุสุดวิสัยก็ตาม ผู้รับฝากจะต้องรับผิดเมื่อทรัพย์สินซึ่งฝากนั้นสูญหาย,['660'],10,"['660', '661', '667', '668', '669', '615', '616']",4746,จากกรณีที่ของรับฝากหายเนื่องจากเหตุสุดวิสัย ขณะที่ผู้รับฝากได้ฝากของให้กับคนอื่นเก็บรักษาไว้เป็นการชั่วคราว ตามมาตรา 660 ของประมวลกฎหมายแพ่งและพาณิชย์ หากผู้รับฝากนำทรัพย์สินที่ฝากนั้นออกใช้สอยเอง หรือให้บุคคลภายนอกเก็บรักษาไว้ โดยไม่ได้รับอนุญาตจากผู้ฝาก ผู้รับฝากจะต้องรับผิด หากทรัพย์สินสูญหายหรือบุบสลาย แม้จะเป็นเพราะเหตุสุดวิสัย เว้นแต่จะพิสูจน์ได้ว่าทรัพย์สินนั้นคงจะต้องสูญหายหรือบุบสลายอยู่แล้ว อย่างไรก็ตาม ในกรณีนี้ ผู้รับฝากได้ฝากของให้กับผู้อื่นเก็บรักษาไว้เป็นการชั่วคราว ซึ่งอาจต้องพิจารณาว่าเข้าข่ายการนำทรัพย์สินไปให้บุคคลภายนอกเก็บรักษาไว้หรือไม่ และหากเข้าข่ายดังกล่าว ผู้รับฝากอาจต้องรับผิดตามมาตรา 660 นอกจากนี้ มาตรา 661 กำหนดว่าหากบุคคลภายนอกอ้างสิทธิเหนือทรัพย์สิน ผู้รับฝากต้องรีบแจ้งให้ผู้ฝากทราบโดยทันที,"มาตรา 660, มาตรา 661","['660', '661']","```json
{
    ""sections"": ""มาตรา 660, มาตรา 661"",
    ""ans"": ""จากกรณีที่ของรับฝากหายเนื่องจากเหตุสุดวิสัย ขณะที่ผู้รับฝากได้ฝากของให้กับคนอื่นเก็บรักษาไว้เป็นการชั่วคราว ตามมาตรา 660 ของประมวลกฎหมายแพ่งและพาณิชย์ หากผู้รับฝากนำทรัพย์สินที่ฝากนั้นออกใช้สอยเอง หรือให้บุคคลภายนอกเก็บรักษาไว้ โดยไม่ได้รับอนุญาตจากผู้ฝาก ผู้รับฝากจะต้องรับผิด หากทรัพย์สินสูญหายหรือบุบสลาย แม้จะเป็นเพราะเหตุสุดวิสัย เว้นแต่จะพิสูจน์ได้ว่าทรัพย์สินนั้นคงจะต้องสูญหายหรือบุบสลายอยู่แล้ว อย่างไรก็ตาม ในกรณีนี้ ผู้รับฝากได้ฝากของให้กับผู้อื่นเก็บรักษาไว้เป็นการชั่วคราว ซึ่งอาจต้องพิจารณาว่าเข้าข่ายการนำทรัพย์สินไปให้บุคคลภายนอกเก็บรักษาไว้หรือไม่ และหากเข้าข่ายดังกล่าว ผู้รับฝากอาจต้องรับผิดตามมาตรา 660 นอกจากนี้ มาตรา 661 กำหนดว่าหากบุคคลภายนอกอ้างสิทธิเหนือทรัพย์สิน ผู้รับฝากต้องรีบแจ้งให้ผู้ฝากทราบโดยทันที""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.8641447266212039
ทำสัญญาจะซื้ออาคารพาณิชย์พร้อมที่ดิน แต่ผู้ขายยังสร้างอาคารพาณิชย์ไม่เสร็จตามสัญญา ผู้จะซื้อยังไม่ชำระค่าก่อสร้างได้หรือไม่,ได้ ผู้จะซื้อจะไม่ยอมชำระหนี้ในการชำระราคาซื้ออาคารพาณิชย์พร้อมที่ดินให้กับผู้จะขาย จนกว่าผู้จะขายจะส่งมอบอาคารพาณิชย์ตามกำหนดในสัญญาก็ได้,['369'],10,"['506', '507', '508', '711', '712']",3452,ตามสัญญาจะซื้ออาคารพาณิชย์พร้อมที่ดิน หากผู้ขายยังสร้างอาคารพาณิชย์ไม่เสร็จ ผู้จะซื้ออาจมีสิทธิในการตรวจดูทรัพย์สินตามมาตรา 506 และ 507 หากผู้ซื้อไม่ตรวจรับภายในเวลาที่กำหนด ผู้ขายอาจไม่มีความผูกพันตามสัญญา ดังนั้น ผู้จะซื้ออาจยังไม่ชำระค่าก่อสร้างจนกว่าจะมีการตกลงหรือข้อกำหนดอื่น ๆ ในสัญญาที่เกี่ยวข้อง,"มาตรา 506, มาตรา 507, มาตรา 508","['506', '507', '508']","```json
{
    ""sections"":""มาตรา 506, มาตรา 507, มาตรา 508"",
    ""ans"":""ตามสัญญาจะซื้ออาคารพาณิชย์พร้อมที่ดิน หากผู้ขายยังสร้างอาคารพาณิชย์ไม่เสร็จ ผู้จะซื้ออาจมีสิทธิในการตรวจดูทรัพย์สินตามมาตรา 506 และ 507 หากผู้ซื้อไม่ตรวจรับภายในเวลาที่กำหนด ผู้ขายอาจไม่มีความผูกพันตามสัญญา ดังนั้น ผู้จะซื้ออาจยังไม่ชำระค่าก่อสร้างจนกว่าจะมีการตกลงหรือข้อกำหนดอื่น ๆ ในสัญญาที่เกี่ยวข้อง""
}
```",0.0,0.0,0.0,0.0,0.0,0.0,0.82188153258463
จำนองที่ดินก่อนสร้างบ้าน บ้านหลังดังกล่าวได้อยู่ในส่วนการจำนองที่ดินด้วยหรือไม่,ไม่ การจำนองที่ดินไม่ครอบไปถึงบ้านที่สร้างลงในที่ดินภายหลังวันจำนอง เว้นแต่จะมีข้อความในสัญญาระบุโดยเฉพาะว่าให้ครอบไปถึงสิ่งปลูกสร้างด้วย,['719'],10,"['718', '719', '287', '703', '704']",2582,โดยทั่วไปแล้ว จำนองที่ดินจะไม่ครอบคลุมถึงเรือนโรงที่สร้างขึ้นหลังจากวันที่จำนอง ตามมาตรา 719 อย่างไรก็ตาม หากมีข้อตกลงในสัญญาจำนองที่ระบุไว้เป็นพิเศษว่าให้ครอบคลุมถึงเรือนโรงที่สร้างขึ้นในภายหลัง ก็จะถือว่าเรือนโรงนั้นอยู่ในส่วนของการจำนองที่ดินด้วย,"มาตรา 718, มาตรา 719","['718', '719']","```json
{
    ""sections"": ""มาตรา 718, มาตรา 719"",
    ""ans"": ""โดยทั่วไปแล้ว จำนองที่ดินจะไม่ครอบคลุมถึงเรือนโรงที่สร้างขึ้นหลังจากวันที่จำนอง ตามมาตรา 719 อย่างไรก็ตาม หากมีข้อตกลงในสัญญาจำนองที่ระบุไว้เป็นพิเศษว่าให้ครอบคลุมถึงเรือนโรงที่สร้างขึ้นในภายหลัง ก็จะถือว่าเรือนโรงนั้นอยู่ในส่วนของการจำนองที่ดินด้วย""
}
```",1.0,0.5,1.0,1.0,0.5,1.0,0.8576300284473266
ค่าประเมินความเสียหายของรถเป็นค่าใช้จ่ายในการตีราคาวินาศภัย บริษัทประกันภัยออกค่าใช้จ่ายดังกล่าวเองหรือไม่,ใช่ ผู้รับประกันภัย คือ บริษัทประกันภัยที่ได้รับใบอนุญาตประกอบธุรกิจประกันภัยอย่างถูกต้องตามกฎหมาย ต้องเป็นผู้ออกใช้ค่าใช้จ่ายในการตีราคาวินาศภัยนั้น,['878'],10,"['878', '879']",4089,ค่าใช้จ่ายในการตีราคาวินาศภัย เป็นค่าใช้จ่ายที่ผู้รับประกันภัยต้องเป็นผู้ออก ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 878,มาตรา 878,['878'],"```json
{
    ""sections"": ""มาตรา 878"",
    ""ans"":""ค่าใช้จ่ายในการตีราคาวินาศภัย เป็นค่าใช้จ่ายที่ผู้รับประกันภัยต้องเป็นผู้ออก ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 878""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.8098887373986285
การโอนหุ้นชนิดระบุชื่อลงในใบหุ้น ต้องมีพยานรับรองลายมือชื่อด้วยหรือไม่,ใช่ ต้องมีพยานรับรองลายมือชื่อการรับโอนหุ้นชนิดระบุชื่อลงในใบหุ้นนั้นๆ โดยทำเป็นหนังสือและลงลายมือชื่อของผู้โอนและผู้รับโอน มีพยานหนึ่งคนเป็นอย่างน้อย และตราสารนั้นต้องแถลงหมายเลขของหุ้นซึ่งโอนกันด้วย,['1129'],10,"['1129', '1130', '1128']",3243,การโอนหุ้นชนิดระบุชื่อลงในใบหุ้น จะต้องทำเป็นหนังสือและลงลายมือชื่อของผู้โอนและผู้รับโอน พร้อมกับมีพยานคนหนึ่งเป็นอย่างน้อยลงชื่อรับรองลายมือชื่อนั้นด้วย มิฉะนั้นการโอนดังกล่าวจะเป็นโมฆะ (มาตรา ๑๑๒๙),มาตรา ๑๑๒๙,['1129'],"```json
{
    ""sections"": ""มาตรา ๑๑๒๙"",
    ""ans"":""การโอนหุ้นชนิดระบุชื่อลงในใบหุ้น จะต้องทำเป็นหนังสือและลงลายมือชื่อของผู้โอนและผู้รับโอน พร้อมกับมีพยานคนหนึ่งเป็นอย่างน้อยลงชื่อรับรองลายมือชื่อนั้นด้วย มิฉะนั้นการโอนดังกล่าวจะเป็นโมฆะ (มาตรา ๑๑๒๙)""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.8862556454948688
